Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
0	Austria	4	Chemical industry	4(d)	Chemical installations for the production on an industrial scale of basic plant health products and of biocides	AT.CAED/9008390392737.FACILITY	Nufarm GmbH & CO KG	14.336056	48.290943	Linz	1,2-dichloroethane (DCE-1,2)	3300.0	2007	1	0
1	Austria	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	AT.CAED/9008390396414.FACILITY	MAGNA STEYR Fahrzeugtechnik AG&Co KG	15.477778	47.01917	Graz,07.Bez.:Liebenau	Non-methane volatile organic compounds (NMVOC)	170000.0	2007	1	0
2	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390397176.FACILITY	Fritz EGGER GmbH & Co. OG	15.691833	48.259556	Unterradlberg	Carbon dioxide (CO2)	228000000.0	2007	1	0
3	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390397176.FACILITY	Fritz EGGER GmbH & Co. OG	15.691833	48.259556	Unterradlberg	Nitrogen oxides (NOX)	311000.0	2007	1	0
4	Austria	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	AT.CAED/9008390397220.FACILITY	voestalpine Stahl GmbH	14.159778	47.807083	Klaus an der Pyhrnbahn	Carbon dioxide (CO2)	329000000.0	2007	1	0
5	Austria	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	AT.CAED/9008390398050.FACILITY	AR Packaging Graz GmbH	15.4	47.033333	Graz,16.Bez.:Straßgang	Non-methane volatile organic compounds (NMVOC)	185000.0	2007	1	0
6	Austria	8	Animal and vegetable products from the food and beverage sector	8(b)	Treatment and processing intended for the production of food and beverage products. Note to reporters, use Level 3 activity e.g. 8(b)(i), in preference to 8(b). Level 2 activity class (i.e. 8(b)) only to be used where Level 3 is not available.	AT.CAED/9008390402368.FACILITY	Jungbunzlauer Austria AG	16.27811	48.721222	Wulzeshofen	Carbon dioxide (CO2)	159000000.0	2007	1	0
7	Austria	8	Animal and vegetable products from the food and beverage sector	8(b)	Treatment and processing intended for the production of food and beverage products. Note to reporters, use Level 3 activity e.g. 8(b)(i), in preference to 8(b). Level 2 activity class (i.e. 8(b)) only to be used where Level 3 is not available.	AT.CAED/9008390402368.FACILITY	Jungbunzlauer Austria AG	16.27811	48.721222	Wulzeshofen	Sulphur oxides (SOX)	179000.0	2007	1	0
8	Austria	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	AT.CAED/9008390403822.FACILITY	Wiehart Gesellschaft m.b.H.	16.279722	48.72461	Wulzeshofen	Zinc and compounds (as Zn)	3220.0	2007	1	0
9	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390404355.FACILITY	Norske Skog Bruck GmbH	15.277111	47.416862	Berndorf	Carbon dioxide (CO2)	294000000.0	2007	1	0
10	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390404355.FACILITY	Norske Skog Bruck GmbH	15.277111	47.416862	Berndorf	Nitrogen oxides (NOX)	382000.0	2007	1	0
11	Austria	4	Chemical industry	4(a)	Chemical installations for the production on an industrial scale of basic organic chemicals. Note to reporters, use Level 3 activity e.g. 4(a)(iii), in preference to 4(a). Level 2 activity class (i.e. 4(a)) only to be used where Level 3 is not available.	AT.CAED/9008390437407.FACILITY	ATMOSA Petrochemie	16.483334	48.13333	Mannswörth	Carbon monoxide (CO)	4600000.0	2007	1	0
12	Austria	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	AT.CAED/9008390461457.FACILITY	Burgenländischer Müllverband	16.488333	47.55	Unterfrauenhaid	Methane (CH4)	494000.0	2007	1	0
13	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390470305.FACILITY	M. Kaindl OG	12.999722	47.822777	Siezenheim	Carbon dioxide (CO2)	218000000.0	2007	1	0
14	Austria	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	AT.CAED/9008390470305.FACILITY	M. Kaindl OG	12.999722	47.822777	Siezenheim	Nitrogen oxides (NOX)	428000.0	2007	1	0
15	Austria	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	AT.CAED/9008390483954.FACILITY	voestalpine Wire Rod Austria GmbH	15.042972	47.391834	Sankt Peter-Freienstein	Nitrogen oxides (NOX)	106000.0	2007	1	0
16	Austria	8	Animal and vegetable products from the food and beverage sector	8(b)	Treatment and processing intended for the production of food and beverage products. Note to reporters, use Level 3 activity e.g. 8(b)(i), in preference to 8(b). Level 2 activity class (i.e. 8(b)) only to be used where Level 3 is not available.	AT.CAED/9008390484500.FACILITY	Bunge Austria GmbH	16.754778	48.022446	Bruck an der Leitha	Non-methane volatile organic compounds (NMVOC)	206000.0	2007	1	0
17	Austria	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	AT.CAED/9008390485620.FACILITY	GIKO Verpackungen GmbH	9.648694	47.297054	Weiler	Non-methane volatile organic compounds (NMVOC)	171000.0	2007	1	0
18	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390486467.FACILITY	Trans Austria Gasleitung GmbH	16.017029	47.034	Lechen	Carbon dioxide (CO2)	141000000.0	2007	1	0
19	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390486467.FACILITY	Trans Austria Gasleitung GmbH	16.017029	47.034	Lechen	Methane (CH4)	813000.0	2007	1	0
20	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390486467.FACILITY	Trans Austria Gasleitung GmbH	16.017029	47.034	Lechen	Nitrogen oxides (NOX)	171000.0	2007	1	0
21	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390487495.FACILITY	Trans Austria Gasleitung GmbH	14.756639	46.674416	Unternberg	Carbon dioxide (CO2)	106000000.0	2007	1	0
22	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390487495.FACILITY	Trans Austria Gasleitung GmbH	14.756639	46.674416	Unternberg	Methane (CH4)	655000.0	2007	1	0
23	Austria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	AT.CAED/9008390487495.FACILITY	Trans Austria Gasleitung GmbH	14.756639	46.674416	Unternberg	Nitrogen oxides (NOX)	268000.0	2007	1	0
24	Austria	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	AT.CAED/9008390509852.FACILITY	Baumit GmbH	16.085917	47.87225	Wopfing	Carbon dioxide (CO2)	423000000.0	2007	1	0
25	Austria	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	AT.CAED/9008390509852.FACILITY	Baumit GmbH	16.085917	47.87225	Wopfing	Carbon monoxide (CO)	824000.0	2007	1	0
26	Austria	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	AT.CAED/9008390509852.FACILITY	Baumit GmbH	16.085917	47.87225	Wopfing	Mercury and compounds (as Hg)	28.8	2007	1	0
27	Austria	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	AT.CAED/9008390509852.FACILITY	Baumit GmbH	16.085917	47.87225	Wopfing	Nitrogen oxides (NOX)	315000.0	2007	1	0
28	Austria	3	Mineral industry	3(e)	Installations for the manufacture of glass, including glass fibre	AT.CAED/9008390510254.FACILITY	Vetropack Austria GmbH	14.144222	48.0565	Kremsmünster	Nitrogen oxides (NOX)	276000.0	2007	1	0
29	Austria	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	AT.CAED/9008390514429.FACILITY	Collini GmbH Metallveredelung	9.681667	47.369446	Hohenems	Hydrogen cyanide (HCN)	1580.0	2007	1	0
