Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
2645	Belgium	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	BE.BRU/100010002.FACILITY	CORDEN PHARMA BRUSSELS	4.40365	50.90178	Bruxelles	Dichloromethane (DCM)	4000.0	2007	1	0
2646	Belgium	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	BE.BRU/100010002.FACILITY	CORDEN PHARMA BRUSSELS	4.40365	50.90178	Bruxelles	Hydrochlorofluorocarbons (HCFCs)	66.0	2007	1	0
2647	Belgium	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	BE.BRU/100010003.FACILITY	SABCA	4.41759	50.88191	Bruxelles	Hydrochlorofluorocarbons (HCFCs)	120.0	2007	1	0
2648	Belgium	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	BE.BRU/100010004.FACILITY	BRUXELLES ENERGIE	4.38037	50.8831	Bruxelles	Carbon dioxide (CO2)	493000000.0	2007	1	0
2649	Belgium	5	Waste and wastewater management	5(b)	Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste	BE.BRU/100010004.FACILITY	BRUXELLES ENERGIE	4.38037	50.8831	Bruxelles	Nitrogen oxides (NOX)	801000.0	2007	1	0
2650	Belgium	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	BE.BRU/100010006.FACILITY	AUDI BRUSSELS	4.31185	50.8088	Forest	Non-methane volatile organic compounds (NMVOC)	135000.0	2007	1	0
2651	Belgium	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	BE.EEA/14566.FACILITY	Hooge Maey	4.341825	51.30613	Antwerpen	Methane (CH4)	717000.0	2007	1	0
2652	Belgium	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	BE.EEA/14574.FACILITY	FORD-WERKE GMBH	5.505835	50.924802	Genk	Naphthalene	786.0	2007	1	0
2653	Belgium	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	BE.EEA/14574.FACILITY	FORD-WERKE GMBH	5.505835	50.924802	Genk	Nitrogen oxides (NOX)	111000.0	2007	1	0
2654	Belgium	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	BE.EEA/14574.FACILITY	FORD-WERKE GMBH	5.505835	50.924802	Genk	Non-methane volatile organic compounds (NMVOC)	2000000.0	2007	1	0
