Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
10937	Bulgaria	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	BG.CAED/002000002.FACILITY	Svinekomplekx Zimen pig farm	27.024075	42.727726	Зимен	Ammonia (NH3)	13300.0	2007	1	0
10938	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Benzene	11400.0	2007	1	0
10939	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Carbon dioxide (CO2)	2620000000.0	2007	1	0
10940	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Carbon monoxide (CO)	1080000.0	2007	1	0
10941	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Nitrogen oxides (NOX)	4100000.0	2007	1	0
10942	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Non-methane volatile organic compounds (NMVOC)	4080000.0	2007	1	0
10943	Bulgaria	1	Energy sector	1(a)	Mineral oil and gas refineries	BG.CAED/002000008.FACILITY	Lukoil Neftohim Burgas AD	27.336508	42.54544	Бургас	Sulphur oxides (SOX)	11700000.0	2007	1	0
10944	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000001.FACILITY	Deven power station	27.613583	43.2028	Девня	Carbon dioxide (CO2)	1620000000.0	2007	1	0
10945	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000001.FACILITY	Deven power station	27.613583	43.2028	Девня	Nitrogen oxides (NOX)	9170000.0	2007	1	0
10946	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000001.FACILITY	Deven power station	27.613583	43.2028	Девня	Sulphur oxides (SOX)	7780000.0	2007	1	0
10947	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000003.FACILITY	Varna power station	27.765472	43.19477	Езерово	Carbon dioxide (CO2)	3720000000.0	2007	1	0
10948	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000003.FACILITY	Varna power station	27.765472	43.19477	Езерово	Nitrogen oxides (NOX)	18800000.0	2007	1	0
10949	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000003.FACILITY	Varna power station	27.765472	43.19477	Езерово	Sulphur oxides (SOX)	26800000.0	2007	1	0
10950	Bulgaria	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	BG.CAED/003000004.FACILITY	Maneks san pig farm	27.683653	43.251575	Слънчево	Ammonia (NH3)	95900.0	2007	1	0
10951	Bulgaria	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	BG.CAED/003000005.FACILITY	Cement company Devnia cement	27.594131	43.235107	Девня	Carbon dioxide (CO2)	1730000000.0	2007	1	0
10952	Bulgaria	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	BG.CAED/003000005.FACILITY	Cement company Devnia cement	27.594131	43.235107	Девня	Nitrogen oxides (NOX)	6320000.0	2007	1	0
10953	Bulgaria	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	BG.CAED/003000005.FACILITY	Cement company Devnia cement	27.594131	43.235107	Девня	Particulate matter (PM10)	188000.0	2007	1	0
10954	Bulgaria	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	BG.CAED/003000005.FACILITY	Cement company Devnia cement	27.594131	43.235107	Девня	Sulphur oxides (SOX)	3380000.0	2007	1	0
10955	Bulgaria	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	BG.CAED/003000006.FACILITY	Agropolihim AD	27.660154	43.20079	Devnya	Ammonia (NH3)	25000.0	2007	1	0
10956	Bulgaria	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	BG.CAED/003000006.FACILITY	Agropolihim AD	27.660154	43.20079	Devnya	Carbon dioxide (CO2)	224000000.0	2007	1	0
10957	Bulgaria	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	BG.CAED/003000006.FACILITY	Agropolihim AD	27.660154	43.20079	Devnya	Nitrogen oxides (NOX)	753000.0	2007	1	0
10958	Bulgaria	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	BG.CAED/003000006.FACILITY	Agropolihim AD	27.660154	43.20079	Devnya	Nitrous oxide (N2O)	682000.0	2007	1	0
10959	Bulgaria	4	Chemical industry	4(b)(iv)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate	BG.CAED/003000008.FACILITY	"Solvey sody Company for Production of 
    Inorganic  chemicals"	27.708887	43.263611	Девня	Ammonia (NH3)	1530000.0	2007	1	0
10960	Bulgaria	4	Chemical industry	4(b)(iv)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate	BG.CAED/003000008.FACILITY	"Solvey sody Company for Production of 
    Inorganic  chemicals"	27.708887	43.263611	Девня	Carbon dioxide (CO2)	433000000.0	2007	1	0
10961	Bulgaria	4	Chemical industry	4(b)(iv)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate	BG.CAED/003000008.FACILITY	"Solvey sody Company for Production of 
    Inorganic  chemicals"	27.708887	43.263611	Девня	Carbon monoxide (CO)	24400000.0	2007	1	0
10962	Bulgaria	4	Chemical industry	4(b)(iv)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Salts, such as ammonium chloride, potassium chlorate, potassium carbonate, sodium carbonate, perborate, silver nitrate	BG.CAED/003000008.FACILITY	"Solvey sody Company for Production of 
    Inorganic  chemicals"	27.708887	43.263611	Девня	Nitrogen oxides (NOX)	159000.0	2007	1	0
10963	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000011.FACILITY	Bulgartransgaz Provadia power station	27.3885	43.2148	Кардам	Carbon dioxide (CO2)	104000000.0	2007	1	0
10964	Bulgaria	1	Energy sector	1(c)	Thermal power stations and other combustion installations	BG.CAED/003000011.FACILITY	Bulgartransgaz Provadia power station	27.3885	43.2148	Кардам	Nitrogen oxides (NOX)	337000.0	2007	1	0
