Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
14380	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Arsenic and compounds (as As)	23.4	2007	1	0
14381	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Carbon dioxide (CO2)	484000000.0	2007	1	0
14382	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Nickel and compounds (as Ni)	1490.0	2007	1	0
14383	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Nitrogen oxides (NOX)	982000.0	2007	1	0
14384	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Nitrous oxide (N2O)	53000.0	2007	1	0
14385	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Particulate matter (PM10)	78000.0	2007	1	0
14386	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Sulphur oxides (SOX)	4660000.0	2007	1	0
14387	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0010010000.FACILITY	Electricity Authority of Cyprus, Moni Power Station	33.1825	34.71	LEMESOS	Zinc and compounds (as Zn)	514.0	2007	1	0
14388	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Arsenic and compounds (as As)	86.5	2007	1	0
14389	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Cadmium and compounds (as Cd)	25.9	2007	1	0
14390	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Carbon dioxide (CO2)	1640000000.0	2007	1	0
14391	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Copper and compounds (as Cu)	115.0	2007	1	0
14392	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Methane (CH4)	111000.0	2007	1	0
14393	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Nickel and compounds (as Ni)	5520.0	2007	1	0
14394	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Nitrogen oxides (NOX)	3320000.0	2007	1	0
14395	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Nitrous oxide (N2O)	179000.0	2007	1	0
14396	Cyprus	1	Energy sector	1(c)	Thermal power stations and other combustion installations	CY.CAED/0020020000.FACILITY	Electricity Authority of Cyprus, Dhekelia Power Station	33.746236	34.980143	LARNAKA	Particulate matter (PM10)	187000.0	2007	1	0
