Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
25983	Denmark	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	DK.CAED/000057526.FACILITY	VESTERLED TEGLVÆRK A/S	9.66662305595978	54.9260159589216	Sønderborg	Chlorine and inorganic compounds (as HCl)	10700.0	2007	1	0
25984	Denmark	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	DK.CAED/000057526.FACILITY	VESTERLED TEGLVÆRK A/S	9.66662305595978	54.9260159589216	Sønderborg	Fluorine and inorganic compounds (as HF)	15000.0	2007	1	0
25985	Denmark	1	Energy sector	1(c)	Thermal power stations and other combustion installations	DK.CAED/000057740.FACILITY	Helsingør Kraftvarmeværk	12.5574866774274	56.0201081514638	Helsingør	Nitrogen oxides (NOX)	259000.0	2007	1	0
25986	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000063247.FACILITY	BUSKYSMINDE Kalkunfarm	11.3754774540936	55.5310082356183	Ruds Vedby	Ammonia (NH3)	24800.0	2007	1	0
25987	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000063921.FACILITY	Hans Jakob Sørensen	8.74109317437076	55.52480346991	Bramming	Ammonia (NH3)	10900.0	2007	1	0
25988	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000064172.FACILITY	Niels Erik Kjær	8.91319157779699	55.2386399940748	Ribe	Ammonia (NH3)	14600.0	2007	1	0
25989	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000064654.FACILITY	Østergård Hovedgård v/Tommy Hensberg	8.69742275427684	56.7112746991836	Roslev	Ammonia (NH3)	27800.0	2007	1	0
25990	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000064694.FACILITY	Aage Ebbesen Fischer Lauritzen	8.91250567655556	55.386171022772	Ribe	Ammonia (NH3)	13000.0	2007	1	0
25991	Denmark	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	DK.CAED/000071030.FACILITY	Nis-Jørn Thomas Diederichsen	9.61092337780658	55.2092215353472	Haderslev	Ammonia (NH3)	12300.0	2007	1	0
25992	Denmark	1	Energy sector	1(c)	Thermal power stations and other combustion installations	DK.CAED/000071770.FACILITY	ENERGI VIBORG KRAFTVARME A/S	9.41480453871519	56.4737605699103	Viborg	Carbon dioxide (CO2)	124000000.0	2007	1	0
