Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
29679	Estonia	3	Mineral industry	3(b)	Opencast mining and quarrying	EE.EEA/16925.FACILITY	Eesti Põlevkivi AS, Aidu põlevkivikarjäär	27.104653	59.314146	Maidla vald, Ida-Viru maakond	Ammonia (NH3)	31000.0	2007	1	0
29680	Estonia	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	EE.EEA/16931.FACILITY	BLRT Grupp AS, Kopli 103 tööstuspark	24.65815	59.463185	Põhja-Tallinna linnaosa, Tallinn	Non-methane volatile organic compounds (NMVOC)	177000.0	2007	1	0
29681	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/16955.FACILITY	Anne Soojus AS, Anne katlamaja	26.791158	58.369796	Lohkva küla, Luunja vald	Nitrogen oxides (NOX)	200000.0	2007	1	0
29682	Estonia	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	EE.EEA/5707.FACILITY	Loksa Laevatehase AS, Loksa laevatehas	25.708045	59.585151	Loksa linn	Non-methane volatile organic compounds (NMVOC)	150000.0	2007	1	0
29683	Estonia	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	EE.EEA/5760.FACILITY	Veolia Keskkonnateenused AS, Aardlapalu prügila	26.747471	58.293841	Uhti küla, Ülenurme vald	Methane (CH4)	2040000.0	2007	1	0
29684	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/5786.FACILITY	Kohtla-Järve Soojus AS, Ahtme soojuselektrijaam	27.465127	59.314234	Kohtla-Järve linn	Arsenic and compounds (as As)	161.0	2007	1	0
29685	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/5786.FACILITY	Kohtla-Järve Soojus AS, Ahtme soojuselektrijaam	27.465127	59.314234	Kohtla-Järve linn	Carbon dioxide (CO2)	184000000.0	2007	1	0
29686	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/5786.FACILITY	Kohtla-Järve Soojus AS, Ahtme soojuselektrijaam	27.465127	59.314234	Kohtla-Järve linn	Carbon dioxide (CO2) excluding biomass	184000000.0	2007	1	0
29687	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/5786.FACILITY	Kohtla-Järve Soojus AS, Ahtme soojuselektrijaam	27.465127	59.314234	Kohtla-Järve linn	Chromium and compounds (as Cr)	142.0	2007	1	0
29688	Estonia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EE.EEA/5786.FACILITY	Kohtla-Järve Soojus AS, Ahtme soojuselektrijaam	27.465127	59.314234	Kohtla-Järve linn	Lead and compounds (as Pb)	537.0	2007	1	0
