Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
31096	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/11035.FACILITY	Sikala	23.179283	60.72873	KOSKITL	Ammonia (NH3)	12300.0	2007	1	0
31097	Finland	1	Energy sector	1(c)	Thermal power stations and other combustion installations	FI.EEA/16983.FACILITY	LAHTI ENERGIA OY, Heinolan voimalaitos, Lämpöliiketoiminta	26.065607	61.18474	HEINOLA	Carbon dioxide (CO2)	106000000.0	2007	1	0
31098	Finland	1	Energy sector	1(c)	Thermal power stations and other combustion installations	FI.EEA/16983.FACILITY	LAHTI ENERGIA OY, Heinolan voimalaitos, Lämpöliiketoiminta	26.065607	61.18474	HEINOLA	Nitrogen oxides (NOX)	102000.0	2007	1	0
31099	Finland	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	FI.EEA/16986.FACILITY	RAPALA VMC OYJ, Uistintehdas	25.574649	61.16226	Vääksy	Non-methane volatile organic compounds (NMVOC)	174000.0	2007	1	0
31100	Finland	2	Production and processing of metals	2(f)	Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process	FI.EEA/17027.FACILITY	Patricomp Oy	24.816375	61.863684	HALLI	Trichloroethylene (TRI)	11600.0	2007	1	0
31101	Finland	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	FI.EEA/17032.FACILITY	Siipikarjan kasvattamo	25.044787	62.809249	KALMARI	Ammonia (NH3)	14500.0	2007	1	0
31102	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/17051.FACILITY	Farmi Nummela Oy	23.158572	60.719817	KOSKI TL	Ammonia (NH3)	12400.0	2007	1	0
31103	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/17055.FACILITY	Hesapork Oy	21.556923	60.619597	TAIVASSALO	Ammonia (NH3)	13400.0	2007	1	0
31104	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/17058.FACILITY	Siipikarjan kasvattamo	23.145936	60.248096	PERNIÖAS	Ammonia (NH3)	12800.0	2007	1	0
31105	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/17060.FACILITY	Sikala	23.590525	60.632325	SOMERO	Ammonia (NH3)	11100.0	2007	1	0
31106	Finland	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	FI.EEA/17073.FACILITY	Nordkalk Oyj Abp Paraisten kalkkitehdas ja satama	22.297923	60.295923	PARAINEN	Nitrogen oxides (NOX)	156000.0	2007	1	0
31107	Finland	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	FI.EEA/17078.FACILITY	Pohjois-Satakunnan Jätteidenkäsittely Oy, Kooninkeitaan kaatopaikka	22.347773	61.731638	KANKAANPÄÄ	Methane (CH4)	640000.0	2007	1	0
31108	Finland	7	Intensive livestock production and aquaculture	7(a)	Installations for the intensive rearing of poultry or pigs. Note to reporters, use Level 3 activity e.g. 7(a)(ii), in preference to 7(a). Level 2 activity class (i.e. 7(a)) only to be used where Level 3 is not available.	FI.EEA/17089.FACILITY	RM-Säteri Oy	22.707824	60.555112	TARVASJOKI	Ammonia (NH3)	10200.0	2007	1	0
