Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
105140	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Carbon dioxide (CO2)	5670000000.0	2007	1	0
105141	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Carbon monoxide (CO)	6160000.0	2007	1	0
105142	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Fluorine and inorganic compounds (as HF)	7590.0	2007	1	0
105143	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Nitrogen oxides (NOX)	3690000.0	2007	1	0
105144	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Particulate matter (PM10)	5670000.0	2007	1	0
105145	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100001.FACILITY	PPC S.A. SES MEGALOPOLIS A’	22.108283	37.418129	MEGALOPOLI	Sulphur oxides (SOX)	229000000.0	2007	1	0
105146	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100004.FACILITY	PPC S.A. SES KERATEAS-LAYRIOY	24.066333	37.746954	KERATEA	Carbon dioxide (CO2)	4190000000.0	2007	1	0
105147	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100004.FACILITY	PPC S.A. SES KERATEAS-LAYRIOY	24.066333	37.746954	KERATEA	Carbon monoxide (CO)	1130000.0	2007	1	0
105148	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100004.FACILITY	PPC S.A. SES KERATEAS-LAYRIOY	24.066333	37.746954	KERATEA	Methane (CH4)	213000.0	2007	1	0
105149	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100004.FACILITY	PPC S.A. SES KERATEAS-LAYRIOY	24.066333	37.746954	KERATEA	Nitrogen oxides (NOX)	5430000.0	2007	1	0
105150	Greece	1	Energy sector	1(c)	Thermal power stations and other combustion installations	EL.CAED/100004.FACILITY	PPC S.A. SES KERATEAS-LAYRIOY	24.066333	37.746954	KERATEA	Particulate matter (PM10)	723000.0	2007	1	0
