Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
116899	Ireland	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	IE.CAED/P0001.FACILITY	Smartply Europe Designated Activity Company	-7.033	52.2738	Kilkenny	Carbon monoxide (CO)	710000.0	2007	1	0
116900	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0004.FACILITY	Thermo Fisher Scientific Cork Limited	-8.31478	51.8164	Cork	Dichloromethane (DCM)	2330.0	2007	1	0
116901	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0004.FACILITY	Thermo Fisher Scientific Cork Limited	-8.31478	51.8164	Cork	PCDD + PCDF (dioxins + furans) (as Teq)	0.0004	2007	1	0
116902	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0006.FACILITY	Novartis Ringaskiddy Limited	-8.34204	51.8245	Cork	Hydrochlorofluorocarbons (HCFCs)	500.0	2007	1	0
116903	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0011.FACILITY	MSD International GMBH	-7.50961	52.3603	Tipperary	Hydro-fluorocarbons (HFCS)	2010.0	2007	1	0
116904	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0013.FACILITY	Pfizer Ireland Pharmaceuticals (Ringaskiddy)	-8.33793	51.8349	Cork	Hydrochlorofluorocarbons (HCFCs)	541.0	2007	1	0
116905	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0013.FACILITY	Pfizer Ireland Pharmaceuticals (Ringaskiddy)	-8.33793	51.8349	Cork	Hydro-fluorocarbons (HFCS)	390.0	2007	1	0
116906	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0014.FACILITY	Sk Biotek Ireland Limited	-6.22089	53.4618	Dublin	PCDD + PCDF (dioxins + furans) (as Teq)	0.000191	2007	1	0
116907	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0019.FACILITY	Amgen Technology (Ireland) Unlimited Company	-6.14958	53.2718	Dublin	Hydrochlorofluorocarbons (HCFCs)	14.0	2007	1	0
116908	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0019.FACILITY	Amgen Technology (Ireland) Unlimited Company	-6.14958	53.2718	Dublin	Hydro-fluorocarbons (HFCS)	118.0	2007	1	0
116909	Ireland	6	Paper and wood production and processing	6(b)	Industrial plants for the production of paper and board and other primary wood products (such as chipboard, fibreboard and plywood)	IE.CAED/P0022.FACILITY	Finsa Forest Products Limited	-8.5368	52.9082	Clare	Particulate matter (PM10)	58100.0	2007	1	0
116910	Ireland	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	IE.CAED/P0029.FACILITY	Irish Cement Limited (Limerick)	-8.69316	52.645	Limerick	Carbon dioxide (CO2)	817000000.0	2007	1	0
116911	Ireland	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	IE.CAED/P0029.FACILITY	Irish Cement Limited (Limerick)	-8.69316	52.645	Limerick	Nitrogen oxides (NOX)	2200000.0	2007	1	0
116912	Ireland	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	IE.CAED/P0030.FACILITY	Irish Cement Limited (Platin)	-6.38553	53.6843	Meath	Carbon dioxide (CO2)	1470000000.0	2007	1	0
116913	Ireland	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	IE.CAED/P0030.FACILITY	Irish Cement Limited (Platin)	-6.38553	53.6843	Meath	Nitrogen oxides (NOX)	5160000.0	2007	1	0
116914	Ireland	4	Chemical industry	4(b)(v)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide	IE.CAED/P0035.FACILITY	Aughinish Alumina Limited	-9.05928	52.6243	Limerick	Carbon dioxide (CO2)	1450000000.0	2007	1	0
116915	Ireland	4	Chemical industry	4(b)(v)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide	IE.CAED/P0035.FACILITY	Aughinish Alumina Limited	-9.05928	52.6243	Limerick	Nickel and compounds (as Ni)	784.0	2007	1	0
116916	Ireland	4	Chemical industry	4(b)(v)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide	IE.CAED/P0035.FACILITY	Aughinish Alumina Limited	-9.05928	52.6243	Limerick	Nitrogen oxides (NOX)	1740000.0	2007	1	0
116917	Ireland	4	Chemical industry	4(b)(v)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide	IE.CAED/P0035.FACILITY	Aughinish Alumina Limited	-9.05928	52.6243	Limerick	Particulate matter (PM10)	183000.0	2007	1	0
116918	Ireland	4	Chemical industry	4(b)(v)	Chemical installations for the production on an industrial scale of basic inorganic chemicals: Non-metals, metal oxides or other inorganic compounds such as calcium carbide, silicon, silicon carbide	IE.CAED/P0035.FACILITY	Aughinish Alumina Limited	-9.05928	52.6243	Limerick	Sulphur oxides (SOX)	2850000.0	2007	1	0
116919	Ireland	5	Waste and wastewater management	5(e)	Installations for the disposal or recycling of animal carcasses and animal waste	IE.CAED/P0041.FACILITY	Dublin Products Limited	-6.7096	53.0521	Wicklow	Nitrogen oxides (NOX)	102000.0	2007	1	0
116920	Ireland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	IE.CAED/P0089.FACILITY	Sigma-Aldrich Ireland Limited	-6.17375	52.80373	Wicklow	PCDD + PCDF (dioxins + furans) (as Teq)	0.000193	2007	1	0
116921	Ireland	8	Animal and vegetable products from the food and beverage sector	8(a)	Slaughterhouses	IE.CAED/P0168.FACILITY	Kepak Athleague	-8.26798	53.5721	Roscommon	Carbon monoxide (CO)	1350000.0	2007	1	0
116922	Ireland	8	Animal and vegetable products from the food and beverage sector	8(a)	Slaughterhouses	IE.CAED/P0168.FACILITY	Kepak Athleague	-8.26798	53.5721	Roscommon	Nitrogen oxides (NOX)	1900000.0	2007	1	0
116923	Ireland	8	Animal and vegetable products from the food and beverage sector	8(a)	Slaughterhouses	IE.CAED/P0168.FACILITY	Kepak Athleague	-8.26798	53.5721	Roscommon	Particulate matter (PM10)	144000.0	2007	1	0
116924	Ireland	8	Animal and vegetable products from the food and beverage sector	8(a)	Slaughterhouses	IE.CAED/P0168.FACILITY	Kepak Athleague	-8.26798	53.5721	Roscommon	Sulphur oxides (SOX)	754000.0	2007	1	0
116925	Ireland	8	Animal and vegetable products from the food and beverage sector	8(a)	Slaughterhouses	IE.CAED/P0187.FACILITY	Donegal Meat Processors	-7.401604041	54.94767019	Donegal	Nitrogen oxides (NOX)	293000.0	2007	1	0
116926	Ireland	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	IE.CAED/P0207.FACILITY	Intel Ireland Limited	-6.51258	53.3749	Kildare	Hydro-fluorocarbons (HFCS)	293.0	2007	1	0
116927	Ireland	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	IE.CAED/P0207.FACILITY	Intel Ireland Limited	-6.51258	53.3749	Kildare	Perfluorocarbons (PFCs)	14800.0	2007	1	0
116928	Ireland	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	IE.CAED/P0207.FACILITY	Intel Ireland Limited	-6.51258	53.3749	Kildare	Sulphur hexafluoride (SF6)	847.0	2007	1	0
116929	Ireland	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	IE.CAED/P0215.FACILITY	Mr John Kiernan (Lismagiril)	-7.0696	53.916	Cavan	Ammonia (NH3)	10900.0	2007	1	0
116930	Ireland	1	Energy sector	1(a)	Mineral oil and gas refineries	IE.CAED/P0266.FACILITY	Irving Oil Whitegate Refinery Limited	-8.24725	51.8201	Cork	Carbon dioxide (CO2)	360000000.0	2007	1	0
116931	Ireland	1	Energy sector	1(a)	Mineral oil and gas refineries	IE.CAED/P0266.FACILITY	Irving Oil Whitegate Refinery Limited	-8.24725	51.8201	Cork	Nitrogen oxides (NOX)	885000.0	2007	1	0
116932	Ireland	1	Energy sector	1(a)	Mineral oil and gas refineries	IE.CAED/P0266.FACILITY	Irving Oil Whitegate Refinery Limited	-8.24725	51.8201	Cork	Non-methane volatile organic compounds (NMVOC)	2950000.0	2007	1	0
116933	Ireland	1	Energy sector	1(a)	Mineral oil and gas refineries	IE.CAED/P0266.FACILITY	Irving Oil Whitegate Refinery Limited	-8.24725	51.8201	Cork	Sulphur oxides (SOX)	1030000.0	2007	1	0
116934	Ireland	8	Animal and vegetable products from the food and beverage sector	8(b)(ii)	Treatment and processing intended for the production of food and beverage products from vegetable raw materials	IE.CAED/P0301.FACILITY	Diageo Ireland (St. James Gate)	-6.28683	53.3427	Dublin	Hydrochlorofluorocarbons (HCFCs)	299.0	2007	1	0
116935	Ireland	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	IE.CAED/P0308.FACILITY	Horan Pig Enterprises	-9.32845	52.5618	Limerick	Ammonia (NH3)	12800.0	2007	1	0
116936	Ireland	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	IE.CAED/P0315.FACILITY	Messrs Jack and David Ronan	-8.46775	52.0829	Cork	Ammonia (NH3)	11000.0	2007	1	0
116937	Ireland	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	IE.CAED/P0316.FACILITY	Mr James O'Brien	-8.22771	51.8895	Cork	Ammonia (NH3)	22000.0	2007	1	0
116938	Ireland	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	IE.CAED/P0316.FACILITY	Mr James O'Brien	-8.22771	51.8895	Cork	Methane (CH4)	131000.0	2007	1	0
