Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
145844	Latvia	2	Production and processing of metals	2(e)(ii)	Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)	LV.EEA/25366.FACILITY	'KRĀSAINIE LĒJUMI' AS, lietuves cehs	24.114388	56.979211	Rīga	Particulate matter (PM10)	68800.0	2007	1	0
145845	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/25371.FACILITY	'SAULKALNE S' ražošanas komercfirma, SIA	24.426508	56.845525	Salaspils lauku ter	Particulate matter (PM10)	88300.0	2007	1	0
145846	Latvia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LV.EEA/5264.FACILITY	'Ventspils siltums' pašvaldības SIA, katlu māja	21.552391	57.387708	Ventspils	Sulphur oxides (SOX)	366000.0	2007	1	0
145847	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.568122	56.690319	Brocēni	Carbon dioxide (CO2)	363000000.0	2007	1	0
145848	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.568122	56.690319	Brocēni	Hydro-fluorocarbons (HFCS)	163.0	2007	1	0
145849	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.568122	56.690319	Brocēni	Nitrogen oxides (NOX)	217000.0	2007	1	0
145850	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.568122	56.690319	Brocēni	Particulate matter (PM10)	364000.0	2007	1	0
145851	Latvia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LV.EEA/7449.FACILITY	'PARVENTAS SILTUMS' Ventspils pašvaldības SIA, katlu māja	21.607222	57.418013	Ventspils	Sulphur oxides (SOX)	415000.0	2007	1	0
145852	Latvia	2	Production and processing of metals	2(e)(ii)	Installation for the smelting, including the alloying, of non-ferrous metals, including recovered products (refining, foundry casting, etc.)	LV.EEA/25366.FACILITY	'KRĀSAINIE LĒJUMI' AS, lietuves cehs	24.113535	56.978304	Rīga	Particulate matter (PM10)	68300.0	2008	1	0
145853	Latvia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LV.EEA/5264.FACILITY	'Ventspils siltums' pašvaldības SIA	21.574052	57.388716	Ventspils	Sulphur oxides (SOX)	328000.0	2008	1	0
145854	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.566302	56.690591	Brocēni	Carbon dioxide (CO2)	358000000.0	2008	1	0
145855	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.566302	56.690591	Brocēni	Nitrogen oxides (NOX)	288000.0	2008	1	0
145856	Latvia	3	Mineral industry	3(c)	Installations for the production of cement clinker in rotary kilns, lime in rotary kilns, cement or lime in other furnaces. Note to reporters, use Level 3 activity e.g. 3(c)(i), in preference to 3(c). Level 2 activity class (i.e. 3(c)) only to be used where Level 3 is not available.	LV.EEA/6687.FACILITY	'CEMEX' SIA, cementa ražotne	22.566302	56.690591	Brocēni	Particulate matter (PM10)	352000.0	2008	1	0
145857	Latvia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LV.EEA/77942.FACILITY	'PARVENTAS SILTUMS' Ventspils pašvaldības SIA	21.597087	57.410276	Ventspils	Sulphur oxides (SOX)	318000.0	2008	1	0
145858	Latvia	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LV.EEA/124041.FACILITY	'Ventspils siltums' pašvaldības SIA	21.574052	57.388716	Ventspils	Sulphur oxides (SOX)	323000.0	2009	1	0
145859	Latvia	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LV.EEA/124061.FACILITY	'VAIŅODES BEKONS', SIA	21.025353	56.512014	Liepāja	Ammonia (NH3)	21800.0	2009	1	0
