Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
146008	Lithuania	3	Mineral industry	3(f)	Installations for melting mineral substances, including the production of mineral fibres	LT.CAED/110711742.FACILITY	"UAB ""Paroc"""	25.238301	54.65754	Vilnius	Ammonia (NH3)	13000.0	2007	1	0
146009	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY1	UAB „Idavang“, branch 08	23.460332	55.006604	Sirvydu k.	Ammonia (NH3)	23400.0	2007	1	0
146010	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY10	UAB „Idavang“ (02) Rupinskai branch	26.194836	55.449	Rupinsku k.	Ammonia (NH3)	98400.0	2007	1	0
146011	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY3	UAB „Idavang“ Skabeikiai (07) branch	22.782134	56.171165	Skabeikiu k.	Ammonia (NH3)	20300.0	2007	1	0
146012	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY4	UAB „Idavang“ (03)Mūša branch	23.985226	56.063666	Veselkiskiu k.	Ammonia (NH3)	62900.0	2007	1	0
146013	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY5	UAB „Idavang“ Joniškis branch	23.628511	56.283171	Satkunu k.	Ammonia (NH3)	116000.0	2007	1	0
146014	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111657920.FACILITY7	UAB „Idavang“ Saja (04) branch	23.156784	55.622403	Kiskoniu k.	Ammonia (NH3)	41500.0	2007	1	0
146015	Lithuania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	LT.CAED/111760831.FACILITY1	Vilnius cogeneration plant No.2	25.234752	54.665825	Vilnius	Nitrogen oxides (NOX)	277000.0	2007	1	0
146016	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/111817150.FACILITY	UAB “Litpirma”	23.388031	55.662348	Siaulenai	Ammonia (NH3)	19600.0	2007	1	0
146017	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/121721595.FACILITY2	UAB „Jondara“, Micaičiai poultry farm	22.913549	55.962259	Micaiciu k.	Ammonia (NH3)	75600.0	2007	1	0
146018	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/140548023.FACILITY4	UAB “Kaušėnų paukštynas”	21.786134	55.928382	Kausenu k.	Ammonia (NH3)	17400.0	2007	1	0
146019	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/140548023.FACILITY5	Farmer V. Sadaunykas poultry farm	21.784268	55.92593	Kausenu k.	Ammonia (NH3)	43000.0	2007	1	0
146020	Lithuania	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	LT.CAED/142003527.FACILITY	"UAB „Girkalnio kiaulių kompleksas"""	23.231673	55.330167	Bakaiciu k.	Ammonia (NH3)	36800.0	2007	1	0
146021	Lithuania	9	Other activities	9(c)	Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating	LT.CAED/142113411.FACILITY	AB „Vakarų metalgama“	21.163242	55.651542	Klaipeda	Non-methane volatile organic compounds (NMVOC)	121000.0	2007	1	0
146022	Lithuania	3	Mineral industry	3(e)	Installations for the manufacture of glass, including glass fibre	LT.CAED/147038795.FACILITY	"AB ""Panevėžio stiklas"""	24.310451	55.75103	Panevėžys	Nitrogen oxides (NOX)	104000.0	2007	1	0
146023	Lithuania	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	LT.CAED/153009143.FACILITY	"AB ""Akmenės cementas"""	22.91416	56.312818	Naujoji Akmenė	Carbon monoxide (CO)	896000.0	2007	1	0
146024	Lithuania	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	LT.CAED/153009143.FACILITY	"AB ""Akmenės cementas"""	22.91416	56.312818	Naujoji Akmenė	Nitrogen oxides (NOX)	2760000.0	2007	1	0
146025	Lithuania	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	LT.CAED/153009143.FACILITY	"AB ""Akmenės cementas"""	22.91416	56.312818	Naujoji Akmenė	Particulate matter (PM10)	541000.0	2007	1	0
146026	Lithuania	3	Mineral industry	3(c)(i)	Installations for the production of cement clinker in rotary kilns	LT.CAED/153009143.FACILITY	"AB ""Akmenės cementas"""	22.91416	56.312818	Naujoji Akmenė	Sulphur oxides (SOX)	227000.0	2007	1	0
146027	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/156667399.FACILITY	"AB ""Achema"""	24.334048	55.082595	Jonalaukio k.	Ammonia (NH3)	382000.0	2007	1	0
146028	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/156667399.FACILITY	"AB ""Achema"""	24.334048	55.082595	Jonalaukio k.	Carbon dioxide (CO2)	2290000000.0	2007	1	0
146029	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/156667399.FACILITY	"AB ""Achema"""	24.334048	55.082595	Jonalaukio k.	Carbon monoxide (CO)	2680000.0	2007	1	0
146030	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/156667399.FACILITY	"AB ""Achema"""	24.334048	55.082595	Jonalaukio k.	Nitrogen oxides (NOX)	583000.0	2007	1	0
146031	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/156667399.FACILITY	"AB ""Achema"""	24.334048	55.082595	Jonalaukio k.	Nitrous oxide (N2O)	10400000.0	2007	1	0
146032	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/158891218.FACILITY1	UAB „Kaišiadorių paukštynas“	24.408474	54.865346	Kaisedorys	Ammonia (NH3)	197000.0	2007	1	0
146033	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/158891218.FACILITY1	UAB „Kaišiadorių paukštynas“	24.408474	54.865346	Kaisedorys	Methane (CH4)	104000.0	2007	1	0
146034	Lithuania	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	LT.CAED/158902846.FACILITY	UAB „Girelės paukštynas“	24.378985	54.861178	Kaisedorys	Ammonia (NH3)	59900.0	2007	1	0
146035	Lithuania	4	Chemical industry	4(c)	Chemical installations for the production on an industrial scale of phosphorous, nitrogen or potassium based fertilisers (simple or compound fertilisers)	LT.CAED/161110455.FACILITY	"AB ""Lifosa"""	24.017936	55.268321	Kėdainiai	Ammonia (NH3)	50700.0	2007	1	0
