Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
147696	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Arsenic and compounds (as As)	44.1	2007	1	0
147697	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Cadmium and compounds (as Cd)	14.5	2007	1	0
147698	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Carbon dioxide (CO2)	814000000.0	2007	1	0
147699	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nickel and compounds (as Ni)	2260.0	2007	1	0
147700	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nitrogen oxides (NOX)	2310000.0	2007	1	0
147701	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Particulate matter (PM10)	451000.0	2007	1	0
147702	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Sulphur oxides (SOX)	4600000.0	2007	1	0
147703	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Zinc and compounds (as Zn)	780.0	2007	1	0
147704	Malta	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	MT.ERA/000000002.FACILITY	Amino Chemicals Ltd.	14.4880143	35.8713117	Marsa	Hydrochlorofluorocarbons (HCFCs)	25.0	2007	1	0
147705	Malta	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	MT.ERA/000000014.FACILITY	Ghallis Non-Hazardous  Waste Landfill	14.4372418	35.9496702	Maghtab	Methane (CH4)	671000.0	2007	1	0
147706	Malta	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	MT.ERA/000000015.FACILITY	Ta-Zwejra Non-Hazardous Landfill	14.4416943	35.9425093	Maghtab	Methane (CH4)	3560000.0	2007	1	0
147707	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Arsenic and compounds (as As)	62.7	2007	1	0
147708	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Cadmium and compounds (as Cd)	19.0	2007	1	0
147709	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Carbon dioxide (CO2)	1210000000.0	2007	1	0
147710	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nickel and compounds (as Ni)	3980.0	2007	1	0
147711	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nitrogen oxides (NOX)	3160000.0	2007	1	0
147712	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Particulate matter (PM10)	338000.0	2007	1	0
147713	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Sulphur oxides (SOX)	7840000.0	2007	1	0
147714	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Zinc and compounds (as Zn)	1370.0	2007	1	0
147715	Malta	9	Other activities	9(e)	Installations for the building of, and painting or removal of paint from ships with a capacity for ships 100 m long	MT.ERA/000000019.FACILITY	Palumbo Malta Shipyard Ltd.	14.5146131	35.8860305	Paola	Particulate matter (PM10)	62500.0	2007	1	0
147716	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Arsenic and compounds (as As)	54.0	2008	1	0
147717	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Cadmium and compounds (as Cd)	18.6	2008	1	0
147718	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Carbon dioxide (CO2)	975000000.0	2008	1	0
147719	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Carbon dioxide (CO2) excluding biomass	975000000.0	2008	1	0
147720	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nickel and compounds (as Ni)	2370.0	2008	1	0
147721	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nitrogen oxides (NOX)	2890000.0	2008	1	0
147722	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Particulate matter (PM10)	474000.0	2008	1	0
147723	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Sulphur oxides (SOX)	3950000.0	2008	1	0
147724	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Zinc and compounds (as Zn)	818.0	2008	1	0
147725	Malta	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	MT.ERA/000000002.FACILITY	Amino Chemicals Ltd.	14.4880143	35.8713117	Marsa	Hydrochlorofluorocarbons (HCFCs)	35.0	2008	1	0
147726	Malta	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	MT.ERA/000000014.FACILITY	Ghallis Non-Hazardous  Waste Landfill	14.4372418	35.9496702	Maghtab	Methane (CH4)	2210000.0	2008	1	0
147727	Malta	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	MT.ERA/000000015.FACILITY	Ta-Zwejra Non-Hazardous Landfill	14.4416943	35.9425093	Maghtab	Methane (CH4)	3560000.0	2008	1	0
147728	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Arsenic and compounds (as As)	53.0	2008	1	0
147729	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Cadmium and compounds (as Cd)	16.1	2008	1	0
147730	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Carbon dioxide (CO2)	1040000000.0	2008	1	0
147731	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Carbon dioxide (CO2) excluding biomass	1040000000.0	2008	1	0
147732	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nickel and compounds (as Ni)	3360.0	2008	1	0
147733	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nitrogen oxides (NOX)	2710000.0	2008	1	0
147734	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Particulate matter (PM10)	274000.0	2008	1	0
147735	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Sulphur oxides (SOX)	6490000.0	2008	1	0
147736	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Zinc and compounds (as Zn)	1160.0	2008	1	0
147737	Malta	9	Other activities	9(e)	Installations for the building of, and painting or removal of paint from ships with a capacity for ships 100 m long	MT.ERA/000000019.FACILITY	Palumbo Malta Shipyard Ltd.	14.5146131	35.8860305	Paola	Particulate matter (PM10)	53100.0	2008	1	0
147738	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Arsenic and compounds (as As)	51.9	2009	1	0
147739	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Cadmium and compounds (as Cd)	17.8	2009	1	0
147740	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Carbon dioxide (CO2)	935000000.0	2009	1	0
147741	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Carbon dioxide (CO2) excluding biomass	935000000.0	2009	1	0
147742	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nickel and compounds (as Ni)	2300.0	2009	1	0
147743	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Nitrogen oxides (NOX)	2280000.0	2009	1	0
147744	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Particulate matter (PM10)	98000.0	2009	1	0
147745	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Sulphur oxides (SOX)	3110000.0	2009	1	0
147746	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Zinc and compounds (as Zn)	794.0	2009	1	0
147747	Malta	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	MT.ERA/000000002.FACILITY	Amino Chemicals Ltd.	14.4880143	35.8713117	Marsa	Hydrochlorofluorocarbons (HCFCs)	22.0	2009	1	0
147748	Malta	5	Waste and wastewater management	5(c)	Installations for the disposal of non-hazardous waste	MT.ERA/000000014.FACILITY	Ghallis Non-Hazardous  Waste Landfill	14.4372418	35.9496702	Maghtab	Methane (CH4)	3680000.0	2009	1	0
147749	Malta	5	Waste and wastewater management	5(c)	Installations for the disposal of non-hazardous waste	MT.ERA/000000015.FACILITY	Ta-Zwejra Non-Hazardous Landfill	14.4416943	35.9425093	Maghtab	Methane (CH4)	3230000.0	2009	1	0
147750	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Arsenic and compounds (as As)	49.0	2009	1	0
147751	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Cadmium and compounds (as Cd)	14.8	2009	1	0
147752	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Carbon dioxide (CO2)	962000000.0	2009	1	0
147753	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Carbon dioxide (CO2) excluding biomass	962000000.0	2009	1	0
147754	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nickel and compounds (as Ni)	3110.0	2009	1	0
147755	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Nitrogen oxides (NOX)	2940000.0	2009	1	0
147756	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Particulate matter (PM10)	123000.0	2009	1	0
147757	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Sulphur oxides (SOX)	4720000.0	2009	1	0
147758	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.ERA/000000017.FACILITY	Marsa Power Station	14.498269	35.8834297	Marsa	Zinc and compounds (as Zn)	1070.0	2009	1	0
147759	Malta	1	Energy sector	1(c)	Thermal power stations and other combustion installations	MT.EEA/14409.FACILITY	DELIMARA POWER STATION	14.5563789	35.8345631	MARSAXLOKK	Arsenic and compounds (as As)	50.5	2010	1	0
