Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
147897	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Benzene	3690.0	2007	1	0
147898	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Cadmium and compounds (as Cd)	482.0	2007	1	0
147899	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Carbon dioxide (CO2)	892000000.0	2007	1	0
147900	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Carbon monoxide (CO)	886000.0	2007	1	0
147901	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Chromium and compounds (as Cr)	102.0	2007	1	0
147902	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Copper and compounds (as Cu)	216.0	2007	1	0
147903	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Fluorine and inorganic compounds (as HF)	19300.0	2007	1	0
147904	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Lead and compounds (as Pb)	983.0	2007	1	0
147905	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Methane (CH4)	221000.0	2007	1	0
147906	Netherlands	4	Chemical industry	4(b)	Chemical installations for the production on an industrial scale of basic inorganic chemicals. Note to reporters, use Level 3 activity e.g. 4(b)(i), in preference to 4(b). Level 2 activity class (i.e. 4(b)) only to be used where Level 3 is not available.	NL.EEA/10218.FACILITY	ThermPhos International BV	3.68971	51.45211	Ritthem	Nitrogen oxides (NOX)	406000.0	2007	1	0
