Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
156757	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11275.FACILITY	PETERSON LINERBOARD AS, Moss	10.6677647	59.44151	Moss	Carbon dioxide (CO2)	312000000.0	2007	1	0
156758	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11275.FACILITY	PETERSON LINERBOARD AS, Moss	10.6677647	59.44151	Moss	Carbon dioxide (CO2) excluding biomass	57000000.0	2007	1	0
156759	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11275.FACILITY	PETERSON LINERBOARD AS, Moss	10.6677647	59.44151	Moss	Nitrogen oxides (NOX)	132000.0	2007	1	0
156760	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11275.FACILITY	PETERSON LINERBOARD AS, Moss	10.6677647	59.44151	Moss	Particulate matter (PM10)	38700.0	2007	1	0
156761	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11275.FACILITY	PETERSON LINERBOARD AS, Moss	10.6677647	59.44151	Moss	Sulphur oxides (SOX)	138000.0	2007	1	0
156762	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11279.FACILITY	Larvik Cell AS	10.0174513	59.0558853	Larvik	Carbon dioxide (CO2)	3960.0	2007	1	0
156763	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11279.FACILITY	Larvik Cell AS	10.0174513	59.0558853	Larvik	Carbon dioxide (CO2) excluding biomass	3960.0	2007	1	0
156764	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11279.FACILITY	Larvik Cell AS	10.0174513	59.0558853	Larvik	Nitrogen oxides (NOX)	4810.0	2007	1	0
156765	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11279.FACILITY	Larvik Cell AS	10.0174513	59.0558853	Larvik	Particulate matter (PM10)	3430.0	2007	1	0
156766	Norway	6	Paper and wood production and processing	6(a)	Industrial plants for the production of pulp from timber or similar fibrous materials	NO.EEA/11279.FACILITY	Larvik Cell AS	10.0174513	59.0558853	Larvik	Sulphur oxides (SOX)	9630.0	2007	1	0
156767	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147961.FACILITY	Troll A	4.823304	60.6366158	Stavanger	Carbon dioxide (CO2)	5060000.0	2007	1	0
156768	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147961.FACILITY	Troll A	4.823304	60.6366158	Stavanger	Methane (CH4)	1470.0	2007	1	0
156769	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147961.FACILITY	Troll A	4.823304	60.6366158	Stavanger	Nitrogen oxides (NOX)	12400.0	2007	1	0
156770	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147961.FACILITY	Troll A	4.823304	60.6366158	Stavanger	Non-methane volatile organic compounds (NMVOC)	804.0	2007	1	0
156771	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147961.FACILITY	Troll A	4.823304	60.6366158	Stavanger	Sulphur oxides (SOX)	703.0	2007	1	0
156772	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147977.FACILITY	Draupner rørledninger	2.466608	58.19001	Haugesund	Carbon dioxide (CO2)	13600000.0	2007	1	0
156773	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147977.FACILITY	Draupner rørledninger	2.466608	58.19001	Haugesund	Methane (CH4)	48500.0	2007	1	0
156774	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147977.FACILITY	Draupner rørledninger	2.466608	58.19001	Haugesund	Nitrogen oxides (NOX)	18800.0	2007	1	0
156775	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147977.FACILITY	Draupner rørledninger	2.466608	58.19001	Haugesund	Non-methane volatile organic compounds (NMVOC)	10000.0	2007	1	0
156776	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147977.FACILITY	Draupner rørledninger	2.466608	58.19001	Haugesund	Sulphur oxides (SOX)	200.0	2007	1	0
156777	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147987.FACILITY	Troll Vest (B og C)	4.823304	60.6366158	Stavanger	Carbon dioxide (CO2)	669000000.0	2007	1	0
156778	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147987.FACILITY	Troll Vest (B og C)	4.823304	60.6366158	Stavanger	Methane (CH4)	1430000.0	2007	1	0
156779	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147987.FACILITY	Troll Vest (B og C)	4.823304	60.6366158	Stavanger	Nitrogen oxides (NOX)	4620000.0	2007	1	0
156780	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147987.FACILITY	Troll Vest (B og C)	4.823304	60.6366158	Stavanger	Non-methane volatile organic compounds (NMVOC)	519000.0	2007	1	0
156781	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/147987.FACILITY	Troll Vest (B og C)	4.823304	60.6366158	Stavanger	Sulphur oxides (SOX)	92600.0	2007	1	0
156782	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/148003.FACILITY	Vilje	2.276369	59.65553	Stavanger	Carbon dioxide (CO2)	6960000.0	2007	1	0
156783	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/148003.FACILITY	Vilje	2.276369	59.65553	Stavanger	Nitrogen oxides (NOX)	152000.0	2007	1	0
156784	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/148003.FACILITY	Vilje	2.276369	59.65553	Stavanger	Non-methane volatile organic compounds (NMVOC)	10900.0	2007	1	0
156785	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/148003.FACILITY	Vilje	2.276369	59.65553	Stavanger	Sulphur oxides (SOX)	8700.0	2007	1	0
156786	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191972.FACILITY	Glitne	1.66524	58.7121773	Stavanger	Carbon dioxide (CO2)	70500000.0	2007	1	0
156787	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191972.FACILITY	Glitne	1.66524	58.7121773	Stavanger	Methane (CH4)	70100.0	2007	1	0
156788	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191972.FACILITY	Glitne	1.66524	58.7121773	Stavanger	Nitrogen oxides (NOX)	470000.0	2007	1	0
156789	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191972.FACILITY	Glitne	1.66524	58.7121773	Stavanger	Non-methane volatile organic compounds (NMVOC)	1170000.0	2007	1	0
156790	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191972.FACILITY	Glitne	1.66524	58.7121773	Stavanger	Sulphur oxides (SOX)	11300.0	2007	1	0
156791	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191990.FACILITY	Statfjord Øst	1.970951	61.3434258	Stavanger	Carbon dioxide (CO2)	3020000.0	2007	1	0
156792	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191990.FACILITY	Statfjord Øst	1.970951	61.3434258	Stavanger	Nitrogen oxides (NOX)	66100.0	2007	1	0
156793	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191990.FACILITY	Statfjord Øst	1.970951	61.3434258	Stavanger	Non-methane volatile organic compounds (NMVOC)	4720.0	2007	1	0
156794	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/191990.FACILITY	Statfjord Øst	1.970951	61.3434258	Stavanger	Sulphur oxides (SOX)	2080.0	2007	1	0
156795	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/192001.FACILITY	Fram	3.514763	61.0842743	Stavanger	Carbon dioxide (CO2)	18800000.0	2007	1	0
156796	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/192001.FACILITY	Fram	3.514763	61.0842743	Stavanger	Nitrogen oxides (NOX)	411000.0	2007	1	0
156797	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/192001.FACILITY	Fram	3.514763	61.0842743	Stavanger	Non-methane volatile organic compounds (NMVOC)	29300.0	2007	1	0
156798	Norway	3	Mineral industry	3(a)	Underground mining and related operations	NO.EEA/192001.FACILITY	Fram	3.514763	61.0842743	Stavanger	Sulphur oxides (SOX)	23500.0	2007	1	0
156799	Norway	5	Waste and wastewater management	5(c)	Installations for the disposal of non-hazardous waste	NO.EEA/192014.FACILITY	Norsk Gjenvinning Metall AS, Avd. Fredrikstad/Onsøy	10.9045143	59.2740021	Fredrikstad	Arsenic and compounds (as As)	0.2	2007	1	0
156800	Norway	5	Waste and wastewater management	5(c)	Installations for the disposal of non-hazardous waste	NO.EEA/192014.FACILITY	Norsk Gjenvinning Metall AS, Avd. Fredrikstad/Onsøy	10.9045143	59.2740021	Fredrikstad	Cadmium and compounds (as Cd)	0.2	2007	1	0
