Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
177102	Portugal	8	Animal and vegetable products from the food and beverage sector	8(c)	Treatment and processing of milk	PT.CAED/100008547.FACILITY	Pronicol - Produtos Lacteos, S.A.	-27.22479	38.646484	Angra do Heroísmo	Nickel and compounds (as Ni)	115.0	2007	1	0
177103	Portugal	8	Animal and vegetable products from the food and beverage sector	8(c)	Treatment and processing of milk	PT.CAED/100008547.FACILITY	Pronicol - Produtos Lacteos, S.A.	-27.22479	38.646484	Angra do Heroísmo	Sulphur oxides (SOX)	175000.0	2007	1	0
177104	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Arsenic and compounds (as As)	77.0	2007	1	0
177105	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Cadmium and compounds (as Cd)	16.0	2007	1	0
177106	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Carbon dioxide (CO2)	146000000.0	2007	1	0
177107	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Chlorine and inorganic compounds (as HCl)	32200.0	2007	1	0
177108	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Copper and compounds (as Cu)	148.0	2007	1	0
177109	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Nickel and compounds (as Ni)	1980.0	2007	1	0
177110	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009180.FACILITY	Central Termoelétrica do Caldeirão	-25.484938	37.798227	Ribeira Grande	Sulphur oxides (SOX)	2620000.0	2007	1	0
177111	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Cadmium and compounds (as Cd)	35.0	2007	1	0
177112	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Carbon dioxide (CO2)	133000000.0	2007	1	0
177113	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Chlorine and inorganic compounds (as HCl)	14800.0	2007	1	0
177114	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Chromium and compounds (as Cr)	119.0	2007	1	0
177115	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Fluorine and inorganic compounds (as HF)	10900.0	2007	1	0
177116	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Nickel and compounds (as Ni)	97.0	2007	1	0
177117	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Nitrogen oxides (NOX)	3680000.0	2007	1	0
177118	Portugal	1	Energy sector	1(c)	Thermal power stations and other combustion installations	PT.CAED/100009185.FACILITY	Central Termoelétrica do Belo Jardim	-27.093549	38.71601	Praia da Vitória	Sulphur oxides (SOX)	1920000.0	2007	1	0
177119	Portugal	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	PT.CAED/100009780.FACILITY	Central de Tratamento e Valorização de Resíduos da Ilha Terceira	-27.22479	38.646484	Angra do Heroísmo	Methane (CH4)	2330000.0	2007	1	0
177120	Portugal	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	PT.CAED/100009782.FACILITY	Pondel - Avícola de Ponta Delgada, Lda.	-25.586529	37.754641	Lagoa	Ammonia (NH3)	19800.0	2007	1	0
177121	Portugal	8	Animal and vegetable products from the food and beverage sector	8(c)	Treatment and processing of milk	PT.CAED/100009785.FACILITY	Prolacto - Lacticínios de S. Miguel, S.A.	-28.303777	38.494017	Lagoa	Nickel and compounds (as Ni)	86.0	2007	1	0
177122	Portugal	8	Animal and vegetable products from the food and beverage sector	8(c)	Treatment and processing of milk	PT.CAED/100012502.FACILITY	Fromageries Bel Portugal, S.A.	-25.484938	37.798227	Ribeira Grande	Nickel and compounds (as Ni)	110.0	2007	1	0
177123	Portugal	8	Animal and vegetable products from the food and beverage sector	8(c)	Treatment and processing of milk	PT.CAED/100012502.FACILITY	Fromageries Bel Portugal, S.A.	-25.484938	37.798227	Ribeira Grande	Sulphur oxides (SOX)	168000.0	2007	1	0
177124	Portugal	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	PT.CAED/100016700.FACILITY	Granpon - Granja Avícola de Ponta Delgada, Lda.	-25.670478	37.808062	Ponta Delgada	Ammonia (NH3)	23200.0	2007	1	0
177125	Portugal	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	PT.CAED/100017900.FACILITY	Ecoparque da Ilha de S. Miguel	-28.303777	38.494017	Ponta Delgada	Methane (CH4)	1840000.0	2007	1	0
177126	Portugal	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	PT.CAED/100018320.FACILITY	Aterro Intermunicipal da Ilha do Pico	-28.467125	38.468008	Madalena	Methane (CH4)	136000.0	2007	1	0
177127	Portugal	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	PT.CAED/PT.APA00059856.CI	CI-Casalito - Amor	-8.86281932237	39.773621035	AMOR	Ammonia (NH3)	84500.0	2007	1	0
177128	Portugal	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	PT.CAED/PT.APA00060372.CI	CI-Moinho Novo	-9.04021478497	39.4795042318	SÃO SEBASTIÃO	Ammonia (NH3)	32700.0	2007	1	0
177129	Portugal	7	Intensive livestock production and aquaculture	7(a)(i)	Installations for the intensive rearing of poultry with 40,000 places for poultry	PT.CAED/PT.APA00065969.CI	CI-Aviário de Santiago	-8.12114640676	40.5781534774	CARAMULO	Ammonia (NH3)	18100.0	2007	1	0
