Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
183823	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101AR0001.FACILITY	SC CET ARAD SA  - pe lignit	21.3294388	46.22194166	Arad	Carbon dioxide (CO2)	607000000.0	2007	1	0
183824	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101AR0001.FACILITY	SC CET ARAD SA  - pe lignit	21.3294388	46.22194166	Arad	Nitrogen oxides (NOX)	551000.0	2007	1	0
183825	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101AR0001.FACILITY	SC CET ARAD SA  - pe lignit	21.3294388	46.22194166	Arad	Particulate matter (PM10)	312000.0	2007	1	0
183826	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101AR0001.FACILITY	SC CET ARAD SA  - pe lignit	21.3294388	46.22194166	Arad	Sulphur oxides (SOX)	10300000.0	2007	1	0
183827	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101BB0001.FACILITY	SC ELECTROCENTRALE BUCURESTI SA - Cet Progresu	26.1073111	44.3728666	BUCURESTI	Carbon dioxide (CO2)	680000000.0	2007	1	0
183828	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101BB0001.FACILITY	SC ELECTROCENTRALE BUCURESTI SA - Cet Progresu	26.1073111	44.3728666	BUCURESTI	Nitrogen oxides (NOX)	580000.0	2007	1	0
183829	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101BB0001.FACILITY	SC ELECTROCENTRALE BUCURESTI SA - Cet Progresu	26.1073111	44.3728666	BUCURESTI	Sulphur oxides (SOX)	470000.0	2007	1	0
183830	Romania	2	Production and processing of metals	2(b)	Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting	RO.CAED/101CS0001.FACILITY	SC TMK RESITA SA	21.901775	45.294758	Resita	Carbon monoxide (CO)	2380000.0	2007	1	0
183831	Romania	2	Production and processing of metals	2(b)	Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting	RO.CAED/101CS0001.FACILITY	SC TMK RESITA SA	21.901775	45.294758	Resita	Lead and compounds (as Pb)	462.0	2007	1	0
183832	Romania	2	Production and processing of metals	2(b)	Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting	RO.CAED/101CS0001.FACILITY	SC TMK RESITA SA	21.901775	45.294758	Resita	PCDD + PCDF (dioxins + furans) (as Teq)	0.0018	2007	1	0
183833	Romania	2	Production and processing of metals	2(b)	Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting	RO.CAED/101CS0001.FACILITY	SC TMK RESITA SA	21.901775	45.294758	Resita	Zinc and compounds (as Zn)	4460.0	2007	1	0
183834	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101CT0001.FACILITY	SC UZINA TERMOELECTRICA MIDIA S.A.	28.64671389	44.34649167	NAVODARI	Carbon dioxide (CO2)	149000000.0	2007	1	0
183835	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101CT0001.FACILITY	SC UZINA TERMOELECTRICA MIDIA S.A.	28.64671389	44.34649167	NAVODARI	Nitrogen oxides (NOX)	166000.0	2007	1	0
183836	Romania	1	Energy sector	1(c)	Thermal power stations and other combustion installations	RO.CAED/101CT0001.FACILITY	SC UZINA TERMOELECTRICA MIDIA S.A.	28.64671389	44.34649167	NAVODARI	Sulphur oxides (SOX)	248000.0	2007	1	0
183837	Romania	1	Energy sector	1(a)	Mineral oil and gas refineries	RO.CAED/101CT0002.FACILITY	SC ROMPETROL RAFINARE SA - punct de lucru Rompetrol Rafinare - Navodari	28.6497388	44.34132222	NAVODARI	Carbon dioxide (CO2)	776000000.0	2007	1	0
