Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
192688	Slovakia	2	Production and processing of metals	2(a)	Metal ore (including sulphide ore) roasting or sintering installations	SK.EEA/10255.FACILITY	Siderit s.r.o - Úprava a zušľachťovanie sideritovej rudy	20.417347	48.737578	Nižná Slaná	Arsenic and compounds (as As)	284.0	2007	1	0
192689	Slovakia	2	Production and processing of metals	2(a)	Metal ore (including sulphide ore) roasting or sintering installations	SK.EEA/10255.FACILITY	Siderit s.r.o - Úprava a zušľachťovanie sideritovej rudy	20.417347	48.737578	Nižná Slaná	Carbon monoxide (CO)	557000.0	2007	1	0
192690	Slovakia	2	Production and processing of metals	2(a)	Metal ore (including sulphide ore) roasting or sintering installations	SK.EEA/10255.FACILITY	Siderit s.r.o - Úprava a zušľachťovanie sideritovej rudy	20.417347	48.737578	Nižná Slaná	Mercury and compounds (as Hg)	298.0	2007	1	0
192691	Slovakia	2	Production and processing of metals	2(a)	Metal ore (including sulphide ore) roasting or sintering installations	SK.EEA/10255.FACILITY	Siderit s.r.o - Úprava a zušľachťovanie sideritovej rudy	20.417347	48.737578	Nižná Slaná	Sulphur oxides (SOX)	2200000.0	2007	1	0
192692	Slovakia	7	Intensive livestock production and aquaculture	7(a)(ii)	Installations for the intensive rearing of pigs with 2,000 places for production pigs (over 30 kg)	SK.EEA/10257.FACILITY	Dona s.r.o. - VOŠ Pláne	21.816157	48.858757	Strážske	Ammonia (NH3)	17400.0	2007	1	0
192693	Slovakia	3	Mineral industry	3(c)(iii)	Installations for the production of cement clinker or lime in other furnaces	SK.EEA/10658.FACILITY	Slovenské magnezitové závody a.s. -  a.s. Jelšava - divízia Bočiar	21.216472	48.5812	Bočiar	Nitrogen oxides (NOX)	121000.0	2007	1	0
192694	Slovakia	8	Animal and vegetable products from the food and beverage sector	8(b)(ii)	Treatment and processing intended for the production of food and beverage products from vegetable raw materials	SK.EEA/22979.FACILITY	Palma - Tumys a.s - výroba jedlých rastl.tukov a olejov	17.130655	48.181317	Bratislava	Non-methane volatile organic compounds (NMVOC)	162000.0	2007	1	0
192695	Slovakia	4	Chemical industry	4(a)(i)	Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)	SK.EEA/22982.FACILITY	Slovnaft Petrochemicals, s.r.o.	17.1713	48.124164	Bratislava	Benzene	8620.0	2007	1	0
192696	Slovakia	4	Chemical industry	4(a)(i)	Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)	SK.EEA/22982.FACILITY	Slovnaft Petrochemicals, s.r.o.	17.1713	48.124164	Bratislava	Carbon dioxide (CO2)	424000000.0	2007	1	0
192697	Slovakia	4	Chemical industry	4(a)(i)	Chemical installations for the production on an industrial scale of basic organic chemicals: Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic)	SK.EEA/22982.FACILITY	Slovnaft Petrochemicals, s.r.o.	17.1713	48.124164	Bratislava	Nitrogen oxides (NOX)	416000.0	2007	1	0
