Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
240742	Sweden	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	SE.CAED/10013697.Facility	LÖT  AVFALLSANLÄGGNING	18.3138203857381	59.6354586008269	Brottby	Methane (CH4)	613000.0	2007	1	0
240743	Sweden	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	SE.CAED/10013765.Facility	SUEZ Recycling AB, Kovik, Lilla Kovik	18.3587972766933	59.3492754887758	Gustavsberg	Methane (CH4)	579000.0	2007	1	0
240744	Sweden	5	Waste and wastewater management	5(f)	Urban waste-water treatment plants	SE.CAED/10013844.Facility	HIMMERFJÄRDSVERKET	17.7125149547151	59.068149281674	GRÖDINGE	Methane (CH4)	110000.0	2007	1	0
240745	Sweden	5	Waste and wastewater management	5(d)	Landfills (excluding landfills of inert waste and landfills, which were definitely closed before 16.7.2001 or for which the after-care phase required by the competent authorities according to Article 13 of Council Directive 1999/31/EC of 26 April 1999 on the landfill of waste has expired)	SE.CAED/10013901.Facility	HÖGBYTORPS AVFALLSANLÄGGNING	17.6281302614871	59.5411058049712	BRO	Methane (CH4)	1600000.0	2007	1	0
240746	Sweden	5	Waste and wastewater management	5(f)	Urban waste-water treatment plants	SE.CAED/10014018.Facility	HENRIKSDALS RENINGSVERK	18.1199630009394	59.3100010881196	Stockholm	Methane (CH4)	310000.0	2007	1	0
240747	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014052.Facility	HÄSSELBYVERKET	17.8252169974923	59.3625825906983	HÄSSELBY	Carbon dioxide (CO2)	351000000.0	2007	1	0
240748	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014052.Facility	HÄSSELBYVERKET	17.8252169974923	59.3625825906983	HÄSSELBY	Carbon dioxide (CO2) excluding biomass	3630000.0	2007	1	0
240749	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014052.Facility	HÄSSELBYVERKET	17.8252169974923	59.3625825906983	HÄSSELBY	Nitrogen oxides (NOX)	243000.0	2007	1	0
240750	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014053.Facility	HÖGDALENVERKET	18.0969337879852	59.275745245699	STOCKHOLM	Nitrous oxide (N2O)	17800.0	2007	1	0
240751	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014055.Facility	VÄRTAVERKET	18.1008824237612	59.3526344136298	STOCKHOLM	Ammonia (NH3)	11900.0	2007	1	0
240752	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014055.Facility	VÄRTAVERKET	18.1008824237612	59.3526344136298	STOCKHOLM	Carbon dioxide (CO2)	779000000.0	2007	1	0
240753	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014055.Facility	VÄRTAVERKET	18.1008824237612	59.3526344136298	STOCKHOLM	Carbon dioxide (CO2) excluding biomass	630000000.0	2007	1	0
240754	Sweden	1	Energy sector	1(c)	Thermal power stations and other combustion installations	SE.CAED/10014055.Facility	VÄRTAVERKET	18.1008824237612	59.3526344136298	STOCKHOLM	Chlorine and inorganic compounds (as HCl)	84300.0	2007	1	0
