Unnamed: 0	Country	EPRTRSectorCode	eprtrSectorName	EPRTRAnnexIMainActivityCode	EPRTRAnnexIMainActivityLabel	FacilityInspireID	facilityName	Longitude	Latitude	City	Pollutant	Emissions	Year	Air	Water
249472	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Benzene	15400.0	2007	1	0
249473	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Carbon dioxide (CO2)	321000000.0	2007	1	0
249474	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Nickel and compounds (as Ni)	474.0	2007	1	0
249475	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Nitrogen oxides (NOX)	321000.0	2007	1	0
249476	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Non-methane volatile organic compounds (NMVOC)	350000.0	2007	1	0
249477	Switzerland	1	Energy sector	1(a)	Mineral oil and gas refineries	CH.CAED/000000011.Facility	Varo Refining Cressier SA / Raffinerie de Cressier	7.035794988049	47.04003781729	Cressier	Sulphur oxides (SOX)	273000.0	2007	1	0
249478	Switzerland	4	Chemical industry	4(e)	Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products	CH.CAED/000000012.Facility	Bachem AG	7.732156906984	47.443078640388	Bubendorf	Trichloromethane	1160.0	2007	1	0
249479	Switzerland	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	CH.CAED/000000013.Facility	Keller AG Ziegeleien / Werk Paradies	8.690830683841	47.679994501993	Schlatt-Paradies	Carbon dioxide (CO2)	6240000.0	2007	1	0
249480	Switzerland	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	CH.CAED/000000013.Facility	Keller AG Ziegeleien / Werk Paradies	8.690830683841	47.679994501993	Schlatt-Paradies	Fluorine and inorganic compounds (as HF)	237.0	2007	1	0
249481	Switzerland	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	CH.CAED/000000013.Facility	Keller AG Ziegeleien / Werk Paradies	8.690830683841	47.679994501993	Schlatt-Paradies	Nitrogen oxides (NOX)	4600.0	2007	1	0
249482	Switzerland	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	CH.CAED/000000013.Facility	Keller AG Ziegeleien / Werk Paradies	8.690830683841	47.679994501993	Schlatt-Paradies	Particulate matter (PM10)	394.0	2007	1	0
249483	Switzerland	3	Mineral industry	3(g)	Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain	CH.CAED/000000013.Facility	Keller AG Ziegeleien / Werk Paradies	8.690830683841	47.679994501993	Schlatt-Paradies	Sulphur oxides (SOX)	14500.0	2007	1	0
