Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
BG	Bulgaria	As	NFR 2014-1	3F	1990	3.2724151423104e-06	Mg		2	NATIONAL TOTAL	Field burning of agricultural residues	Agriculture
BG	Bulgaria	As	NFR 2014-1	5C1bi	1990	0.0005832239196592	Mg		2	NATIONAL TOTAL	Industrial waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1biii	1990	0.0001682231609048	Mg		2	NATIONAL TOTAL	Clinical waste incineration	Waste
BG	Bulgaria	As	NFR 2014-1	5C1bv	1990	6.1245e-05	Mg		2	NATIONAL TOTAL	Cremation	Waste
BG	Bulgaria	As	NFR 2014-1	5E	1990	0.00397949	Mg		2	NATIONAL TOTAL	Other waste	Waste
BG	Bulgaria	As	NFR 2014-1	NATIONAL TOTAL	1990	24.8200658658738	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
BG	Bulgaria	As	NFR 2014-1	1A1a	1991	3.811678	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A1c	1991	0.012025	Mg		2	NATIONAL TOTAL	Manufacture of solid fuels and other energy industries	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	1A2a	1991	1.55657	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Iron and steel	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1A2b	1991	8.247708	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-ferrous metals	Energy use in industry
BG	Bulgaria	As	NFR 2014-1	1B2aiv	2000	0.0271014	Mg		2	NATIONAL TOTAL	Fugitive emissions oil: Refining / storage	Energy production and distribution
BG	Bulgaria	As	NFR 2014-1	2C1	2000	0.2970903588	Mg		2	NATIONAL TOTAL	Iron and steel production	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2D3g	2000	6.370571428571431e-09	Mg		2	NATIONAL TOTAL	Chemical products	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2D3i	2000	0.0	Mg		2	NATIONAL TOTAL	Other solvent use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2G	2000	0.00142732275	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
BG	Bulgaria	As	NFR 2014-1	2C1	2001	0.2704693593	Mg		2	NATIONAL TOTAL	Iron and steel production	Industrial processes and product use
