Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
EE	Estonia	As	NFR 2014-1	1A4ci	1990	0.02	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: Stationary	Commercial, institutional and households
EE	Estonia	As	NFR 2014-1	1A4ciii	1990	0.000433	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: National fishing	Non-road transport
EE	Estonia	As	NFR 2014-1	2G	1992	0.005775	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
EE	Estonia	As	NFR 2014-1	2G	1993	0.008533	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
EE	Estonia	As	NFR 2014-1	2G	1990	0.013497	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
EE	Estonia	As	NFR 2014-1	5C2	1990	0.016356	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1990	18.9315654	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1990	0.00891	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	5C2	1992	0.018514	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1992	14.1108685	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1992	0.00586	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	5C1bv	1993	1e-06	Mg		2	NATIONAL TOTAL	Cremation	Waste
EE	Estonia	As	NFR 2014-1	5C2	1993	0.015912	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1993	10.9196267	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1993	0.00693	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1996	10.4444832	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1996	0.0043	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	1A3bi	1999	7.2e-05	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
EE	Estonia	As	NFR 2014-1	1A3bii	1999	7e-06	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
EE	Estonia	As	NFR 2014-1	1A3biii	1999	2.3e-05	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
EE	Estonia	As	NFR 2014-1	1A3biv	1999	2e-07	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
EE	Estonia	As	NFR 2014-1	1A3bvi	1999	0.001836	Mg		2	NATIONAL TOTAL	Road transport: Automobile tyre and brake wear	Road transport
EE	Estonia	As	NFR 2014-1	1A3c	1999	1.2e-05	Mg		2	NATIONAL TOTAL	Railways	Non-road transport
EE	Estonia	As	NFR 2014-1	1A3dii	1999	0.0002	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
EE	Estonia	As	NFR 2014-1	1A4ai	1999	0.0100017	Mg		2	NATIONAL TOTAL	Commercial/institutional: Stationary	Commercial, institutional and households
EE	Estonia	As	NFR 2014-1	1A4bi	1999	0.057845	Mg		2	NATIONAL TOTAL	Residential: Stationary	Commercial, institutional and households
EE	Estonia	As	NFR 2014-1	1A4ci	1999	0.0100001	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: Stationary	Commercial, institutional and households
EE	Estonia	As	NFR 2014-1	1A4ciii	1999	5.6e-05	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: National fishing	Non-road transport
EE	Estonia	As	NFR 2014-1	1A3di(i)	2000	0.00493	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	5C1bv	2002	5.3e-05	Mg		2	NATIONAL TOTAL	Cremation	Waste
EE	Estonia	As	NFR 2014-1	5C2	2002	0.018476	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	5E	2002	0.001935	Mg		2	NATIONAL TOTAL	Other waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	2002	8.4334583	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	2002	0.00551	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	2G	1999	0.005929	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
EE	Estonia	As	NFR 2014-1	5C1bv	1994	7e-06	Mg		2	NATIONAL TOTAL	Cremation	Waste
EE	Estonia	As	NFR 2014-1	5C2	1994	0.020229	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1994	10.7637804	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1994	0.00581	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	1A1a	1991	16.33441	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
EE	Estonia	As	NFR 2014-1	1A1c	1991	0.01	Mg		2	NATIONAL TOTAL	Manufacture of solid fuels and other energy industries	Energy production and distribution
EE	Estonia	As	NFR 2014-1	5C1bv	1999	3.9e-05	Mg		2	NATIONAL TOTAL	Cremation	Waste
EE	Estonia	As	NFR 2014-1	5C2	1999	0.024151	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
EE	Estonia	As	NFR 2014-1	5E	1999	0.001944	Mg		2	NATIONAL TOTAL	Other waste	Waste
EE	Estonia	As	NFR 2014-1	NATIONAL TOTAL	1999	8.8039979	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
EE	Estonia	As	NFR 2014-1	1A3di(i)	1999	0.00528	Mg		2		International maritime navigation	Other
EE	Estonia	As	NFR 2014-1	1A1a	1997	10.071933	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
EE	Estonia	As	NFR 2014-1	1A2gviii	1991	0.0703125	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
