Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
IS	Iceland	As	NFR 2014-1	5E	1991	3.29045361156101e-05	Mg		2	NATIONAL TOTAL	Other waste	Waste
IS	Iceland	As	NFR 2014-1	NATIONAL TOTAL	1991	0.0657884057634523	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
IS	Iceland	As	NFR 2014-1	1A3di(i)	1991	9.00676e-05	Mg		2		International maritime navigation	Other
IS	Iceland	As	NFR 2014-1	2C2	1993	0.0012655663522165	Mg		2	NATIONAL TOTAL	Ferroalloys production	Industrial processes and product use
IS	Iceland	As	NFR 2014-1	2G	1993	0.00027246327	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
IS	Iceland	As	NFR 2014-1	5C1bv	1993	2.30009e-06	Mg		2	NATIONAL TOTAL	Cremation	Waste
IS	Iceland	As	NFR 2014-1	5C2	1993	0.0130995	Mg		2	NATIONAL TOTAL	Open burning of waste	Waste
IS	Iceland	As	NFR 2014-1	5E	1993	3.3031087141536e-05	Mg		2	NATIONAL TOTAL	Other waste	Waste
IS	Iceland	As	NFR 2014-1	NATIONAL TOTAL	1993	0.074562827642548	Mg		2		National total for the entire territory (based on fuel sold)	National total for the entire territory
IS	Iceland	As	NFR 2014-1	1A2gviii	1994	7.76487840000001e-06	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
IS	Iceland	As	NFR 2014-1	1A3bi	1994	3.93976157592595e-05	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
IS	Iceland	As	NFR 2014-1	1A3bii	1994	1.90560610332179e-06	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
IS	Iceland	As	NFR 2014-1	1A3biii	1994	3.11558684537223e-06	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
IS	Iceland	As	NFR 2014-1	1A3biv	1994	2.42083336204414e-07	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
