Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
MT	Malta	As	NFR 2014-1	1A1a	1990	0.105027762059998	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
MT	Malta	As	NFR 2014-1	1A2gviii	1990	2.85355540799995e-05	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
MT	Malta	As	NFR 2014-1	1A3bi	1990	1.9048718677455e-05	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
MT	Malta	As	NFR 2014-1	1A3bii	1990	3.36176030641326e-06	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
MT	Malta	As	NFR 2014-1	1A3biii	1990	1.2257687349643e-06	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
MT	Malta	As	NFR 2014-1	1A3biv	1990	1.05678647590512e-07	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
MT	Malta	As	NFR 2014-1	1A3bvi	1990	1.04976346990833e-13	Mg		2	NATIONAL TOTAL	Road transport: Automobile tyre and brake wear	Road transport
MT	Malta	As	NFR 2014-1	1A3dii	1990	0.0013901158671281	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
MT	Malta	As	NFR 2014-1	1A4ai	1990	0.0002356684080993	Mg		2	NATIONAL TOTAL	Commercial/institutional: Stationary	Commercial, institutional and households
MT	Malta	As	NFR 2014-1	1A4bi	1990	9.22175999999984e-05	Mg		2	NATIONAL TOTAL	Residential: Stationary	Commercial, institutional and households
MT	Malta	As	NFR 2014-1	1A2gviii	1992	3.20799466710069e-05	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
MT	Malta	As	NFR 2014-1	1A3bi	1992	1.83313323390351e-05	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
MT	Malta	As	NFR 2014-1	1A3bii	1992	3.71210311842778e-06	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
MT	Malta	As	NFR 2014-1	1A3biii	1992	1.67809085711524e-06	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
MT	Malta	As	NFR 2014-1	1A3biv	1992	9.19541479034322e-08	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
MT	Malta	As	NFR 2014-1	1A3bvi	1992	1.11507311048511e-13	Mg		2	NATIONAL TOTAL	Road transport: Automobile tyre and brake wear	Road transport
MT	Malta	As	NFR 2014-1	1A3dii	1992	0.0017746508728103	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
MT	Malta	As	NFR 2014-1	1A4ai	1992	0.0005585818604183	Mg		2	NATIONAL TOTAL	Commercial/institutional: Stationary	Commercial, institutional and households
MT	Malta	As	NFR 2014-1	1A4bi	1992	0.0001035695999999	Mg		2	NATIONAL TOTAL	Residential: Stationary	Commercial, institutional and households
MT	Malta	As	NFR 2014-1	1A4ciii	1992	3.46850200371448e-05	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: National fishing	Non-road transport
MT	Malta	As	NFR 2014-1	1A4ciii	1990	2.06109850695657e-05	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: National fishing	Non-road transport
MT	Malta	As	NFR 2014-1	2G	1990	1.78502507216102e-07	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
MT	Malta	As	NFR 2014-1	2G	1992	1.78502507216102e-07	Mg		2	NATIONAL TOTAL	Other product use	Industrial processes and product use
MT	Malta	As	NFR 2014-1	1A1a	1995	0.0833236839359986	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
MT	Malta	As	NFR 2014-1	1A2gviii	1995	3.64407179254408e-05	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
MT	Malta	As	NFR 2014-1	1A3bi	1995	2.76399678812194e-05	Mg		2	NATIONAL TOTAL	Road transport: Passenger cars	Road transport
MT	Malta	As	NFR 2014-1	1A3bii	1995	7.90290681522526e-06	Mg		2	NATIONAL TOTAL	Road transport: Light duty vehicles	Road transport
MT	Malta	As	NFR 2014-1	1A3biii	1995	2.51199686214438e-06	Mg		2	NATIONAL TOTAL	Road transport: Heavy duty vehicles and buses	Road transport
MT	Malta	As	NFR 2014-1	1A3biv	1995	2.34310007294642e-07	Mg		2	NATIONAL TOTAL	Road transport: Mopeds & motorcycles	Road transport
MT	Malta	As	NFR 2014-1	1A3bvi	1995	2.45812875950209e-13	Mg		2	NATIONAL TOTAL	Road transport: Automobile tyre and brake wear	Road transport
MT	Malta	As	NFR 2014-1	1A3dii	1995	0.0023136350586144	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
