Country_Code	Country	Pollutant_name	Format_name	Sector_code	Year	Emissions	Unit	Notation	VersionId	Parent_sector_code	Sector_name	Sector_label_EEA
RO	Romania	As	NFR 2014-1	1A1a	1991	4.7862398	Mg		2	NATIONAL TOTAL	Public electricity and heat production	Energy production and distribution
RO	Romania	As	NFR 2014-1	1A1b	1991	0.05098776	Mg		2	NATIONAL TOTAL	Petroleum refining	Energy production and distribution
RO	Romania	As	NFR 2014-1	1A1c	1991	0.001046	Mg		2	NATIONAL TOTAL	Manufacture of solid fuels and other energy industries	Energy production and distribution
RO	Romania	As	NFR 2014-1	1A2a	1991	0.2986402	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Iron and steel	Energy use in industry
RO	Romania	As	NFR 2014-1	1A2c	1991	0.0203326	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Chemicals	Energy use in industry
RO	Romania	As	NFR 2014-1	1A2e	1991	0.00052	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Food processing, beverages and tobacco	Energy use in industry
RO	Romania	As	NFR 2014-1	1A2f	1991	0.00294	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Non-metallic minerals	Energy use in industry
RO	Romania	As	NFR 2014-1	1A2gviii	1991	0.0514548	Mg		2	NATIONAL TOTAL	Stationary combustion in manufacturing industries and construction: Other	Energy use in industry
RO	Romania	As	NFR 2014-1	1A3dii	1991	0.01995	Mg		2	NATIONAL TOTAL	National navigation (shipping)	Non-road transport
RO	Romania	As	NFR 2014-1	1A4bi	1991	0.067398796	Mg		2	NATIONAL TOTAL	Residential: Stationary	Commercial, institutional and households
RO	Romania	As	NFR 2014-1	1A4ci	1991	0.0035082	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: Stationary	Commercial, institutional and households
RO	Romania	As	NFR 2014-1	1A5a	1991	0.04387947	Mg		2	NATIONAL TOTAL	Other stationary (including military)	Commercial, institutional and households
RO	Romania	As	NFR 2014-1	1B1b	1991	0.033553	Mg		2	NATIONAL TOTAL	Fugitive emission from solid fuels: Solid fuel transformation	Energy production and distribution
RO	Romania	As	NFR 2014-1	1B2aiv	1991	0.041281786	Mg		2	NATIONAL TOTAL	Fugitive emissions oil: Refining / storage	Energy production and distribution
RO	Romania	As	NFR 2014-1	1B2c	1991	0.002789808	Mg		2	NATIONAL TOTAL	Venting and flaring (oil, gas, combined oil and gas)	Energy production and distribution
RO	Romania	As	NFR 2014-1	2A3	1991	0.11943779	Mg		2	NATIONAL TOTAL	Glass production	Industrial processes and product use
RO	Romania	As	NFR 2014-1	2C1	1991	40.55774	Mg		2	NATIONAL TOTAL	Iron and steel production	Industrial processes and product use
RO	Romania	As	NFR 2014-1	2C5	1991	0.001	Mg		2	NATIONAL TOTAL	Lead production	Industrial processes and product use
RO	Romania	As	NFR 2014-1	2C6	1991	0.00027	Mg		2	NATIONAL TOTAL	Zinc production	Industrial processes and product use
RO	Romania	As	NFR 2014-1	2C7a	1991	0.248	Mg		2	NATIONAL TOTAL	Copper production	Industrial processes and product use
RO	Romania	As	NFR 2014-1	1A4ci	1993	0.00392828	Mg		2	NATIONAL TOTAL	Agriculture/Forestry/Fishing: Stationary	Commercial, institutional and households
RO	Romania	As	NFR 2014-1	1A5a	1993	0.00394243	Mg		2	NATIONAL TOTAL	Other stationary (including military)	Commercial, institutional and households
RO	Romania	As	NFR 2014-1	1B1b	1993	0.033813	Mg		2	NATIONAL TOTAL	Fugitive emission from solid fuels: Solid fuel transformation	Energy production and distribution
